,post_caption
39680,"Granny's Recipes Sauerkraut 

to goes with our Sweet Potatoes Rosti in our Selling Hot Mac Nonald Big Breakfast 

Where Mac Nonald BIG BREAKFAST came from ? 

ANSWER: 
When children are young they always loves to eat Mac Donald Big Breakfast , so I always keep their paper packaging and remake sth healthier to replace Mac (name cannot be say) Breakfast in same paper packaging .........  trying my best to cheat children.... saying nah nah nah !! this is Real Mac(name cannot be say) big breakfast !! 

Probably this is sth many mother will encounter with headache before, 

you are not alone !!

Now with MacNonald Big Breakfast help you to solve your headache 

Online Menu : back2basicliving.com
Same Day Delivery must order before 9am. 

Trying our best to delivery Vegan Food within 3-4hrs. 

Welcome to self collect Vegan Food approach our @anonymised_user and Vegan Cow for Collection Delivery Area 

At the same time enjoy Browsing our Transparent Kitchen while preparing your Vegan Food Cooking on Spot. 

#homesweethomefooddelivery
#homesweethomefood 
#homecookingrestaurantquality 
#veganfooddeliverysg 
#singaporeveganfooddelivery 
#Xing Jia Po Su Shi Hao Qu Chu 
#Xing Jia Po Su Shi Can Guan 
#Xing Jia Po Su Shi Ka Pei Dian 
#Xing Jia Po Su Shi Wai Mai Dian 
#glutenfreeveganfoodsg 
#glutenfreeveganfooddeliverysg
#veganfooddelivery 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#supportlocalfooddelivery 
#supportlocalsmallhandcraftfood 
#supportlocalsg 
#zerowastevegancafesg 
#vegancafesg 
#glutenfreevegancafesg 

@anonymised_user 
@anonymised_user"
39681,"Contactless Vegan Food Delivering   & Catering [?][?][?]

Please Look for OUR Vegan Cow  and @anonymised_user  to Collect Your Vegan Food Collection. 

Restaurant Quality in Home Cooking Rate 

#contactlessdelivery 
#contactlessveganfooddelivery
#contactlessveganfooddeliverysg
#contactlessfooddelivery 
#contactlessfooddeliverysg
#veganfooddelivery 
#veganfooddeliverysg 
#veganfoodcatering 
#veganfoodcateringsg
#wholefood 
#realfood 
#homesweethomefood 
#homecooking 
#singaporeveganfooddelivery 
#singaporeveganfood 
#Xing Jia Po Su Shi Hao Qu Chu  
#Xing Jia Po Su Shi  
#lowfodmap 
#lowfodmapdiet 
#vegancafesg 
#rawvegancafe 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#zerowastevegancafesg 
#zerowastevegancafe 
#healthyfood 
#glutenfreeveganfood 
#glutenfreevegancafesg 
#glutenfreevegancafe 

@anonymised_user 
@anonymised_user"
39690,"Vegan Feast Platter
Newly Created by @anonymised_user 

MENU : back2basicliving.com
Pre Order Daily by 3pm 
Delivery  next day by 12pm 

Same Day Delivery Order by 9am 
Delivery  Same Day by 6pm 

#veganfooddelivery 
#veganfooddeliverysg 
#veganfoodlovers 
#veganferments
#veganplatter 
#vegancurry 
#veganrendangcurry 
#veganrendangcurrymushroom 
#veganfoodsg 
#vegancafesg 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#veganfoodsg 
#wholefood 
#realfood 
#lowfodmapdiet 
#lowfodmap 
#fermentedveganfood 
#vegetarianfood 
#vegetarianfoodsg 
#fooddelivery 
#handcraftfood 
#zerowastevegancafesg 
#rawvegancafesg 
#vegancheese"
39691,"Raw Vegan Sushi & Hand Roll 
NO RICE  

This Month Specially Recommended by @anonymised_user 

Yes No Rice So what is inside ? 
Our Secret Recipes 

MENU : back2basicliving.com
Pre Order Daily by 3pm 
Delivery  next day by 12pm 

Same Day Delivery Order by 9am 
Delivery  Same Day by 6pm 

You can Order both Lunch and Dinner for one shot delivery  

#rawvegansushi 
#veganfoodsg 
#veganfoodlovers 
#rawveganfoodlover 
#wholefood 
#realfood 
#lowfodmapdiet 
#lowfodmap 
#fermentedveganfood 
#vegetarianfood 
#vegetarianfoodsg 
#fooddelivery 
#handcraftfood 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#zerowastevegancafesg 
#rawvegancafesg"
39697,"Good Morning [?] Stay Home Stay Safe 
@anonymised_user 

Last Year this time during CB very appreciated all Bro & Sis keep supporting my Home-Based Vegan & Raw Vegan Food Delivery. 

This year don't wanna let you all down ..... we LEVEL UP [?][?] upgraded with a F&B licence for Food Delivery service to give all our supporters and Vegetarian Friends with more Official Guarantee, Credibility, Credential in Sustainable Vegan Food

Now We NEED all your continuous SUPPORT otherwise we need to shut down closing such amazing Zero Waste Vegan Food Delivery Shop 

Please do look at our Menu and give us feedback
Please Support Local Small Business
Online Menu : back2basicliving.com 
Promo Code for Special Needs : Atypical Awareness
Promo Code : AndyLau15

Friends keep asking me why I disappear ........
 Been keep busy learning how to take care a small food delivery service before announcing ABOUT this Zero Waste Vegan Cafe [?][?] #Huo Dao Lao Xue Dao Lao  #keeplearningandgrowing #staypositive 

Now we are announcing we got a F & B Licence from SFA / NEA to given full guarantee and protection in Food Handling for ALL OUR Supporter & Vegan Friends when they ordering Food with us  

Our Zero Waste Vegan Shop name ""Back 2 Basic Living"" stick to my Philosophy combined with 3 concepts (1) Fermented Vegan Whole Food (2) Sustainable Lifestyle & (3) Gluten Free Vegan Lowfodmap 

#stayhomestaysafestayhealthy
#staypositivekeepsmiling
#jcchenghandcraftfood
#zerowastevegancafesg
#craftingfuturefoods
#rawveganfood
#veganfood
#veganfoodsg
#vegetarianfoodsg
#fooddeliveryservice
#fooddeliverysg
#homecookingfood
#zerowastesg
#zerowastevegancafe
#lowfodmapdiet
#sustainablefoodsg
#sustainablefood
#animalcrueltyfree
#glutenfreeveganfood"
39698,"Junboocha Smoothies - Our House Special 

Highly Recommended by our @anonymised_user 

Everyday Freshly Blending with seasonal fresh fruit and some green. 

Crafting The Future Food - Sustainable Food

This week we have Red Dragon fruit and Pineapple to fight against Inflammation 

Online Cafe : back2basicliving.com
FB Page : Simple & Natural Homemade
IG : B2basic.living

#kombuchasmoothies 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#sustainablefood 
#craftingfuturefoods 
#cratingthefutureoffood 
#foodcrafting 
#culturedfood 
#cultureddrinks 
#kombuchagirl 
#kombuchamama 
#kombucha 
#waterkefirdrinks 
#waterkefirsmoothies 
#zerowastevegancafesg"
39703,"Animal Cruelty Vegan Burrito . & Taco  Set @anonymised_user 

#wholefood 
#cleandiet 
#lowfodmap 
#rawvegancheesecake 
#vegankefircheesecake 
#kefircheesecake 
#lowfodmapdiet 
#veganfoodsg 
#vegancafesg 
#veganfooddeliverysg 
#veganfoodtakeaway 
#plantbasedfoodsg 
#wholefood 
#naturalfood 
#zerowastevegancafesg 
#zerowastevegancafe 
#zerowasterawvegancafesg 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#sustainablifestyle 
#socialenterprise 
#animalcrueltyfreefood 
#sustainablefoodsg"
39706,"Rocket Moringa Pesto Gluten Free Pasta 
@anonymised_user 

Glad to see more neighbourhood coming down for lunch & dinner which  just cook specially for them as per request.  We have special offer for all disable friends , he was referred by his disable friend and special come down and try our Pesto Pasta 

UPCYCLING :- 
Pls bring down your reusable object for other friends to repurpose and grab a free Green (no roast) coffee on us [?][?][?][?]

Rocket Moringa Pesto:- 
This Pesto is our house special ..... VIO la ...... rosemary n roasted garlic infused EVOO for 1 year + sprouted n activated Walnut Almond & Cashew nuts.  Basil r all home grown with house Eco Enzyme and compost [?][?][?][?]

Thank You for friends sharing and recommend our Zero Waste Gluten Free  Raw Vegan Cafe otherwise we need close down !!

Did you ever Wondering how Blind friend using Mobile Phone and make paylah ??
[?]Something Special to Share , thanks to disable friends coming down and now I understand how powerful Apple Phone in assisting for blind friend everyday life in make paylah and how they add fb friends 

#disablesfriendly 
#disablefriendly 
#blindfriendlycafe
#disablefriendlycafesg
#jcchenghandmadefood 
#jcchenghandcraftfood 
#veganfoodsg 
#vegandietsg 
#vegancafesg 
#pasirpanjang 
#hawparvilla 
#bounavista 
#vivavistamall 
#zerowastevegancafe 
#zerowastevegancafesg 
#petfriendlycafesg 
#specialneedsfriendly 
#glutenfreevegancafe 
#glutenfreevegancafesg 

Simple & Natural Homemade
Visit :- back2basicliving.com"
39714,"Handpan X Whole Food X Nature
@anonymised_user (IG) 

Always glad to see customers delightfully playing our handpan    at the same time enjoying our Raw Vegan Whole Food on the grass outside our Zero Waste Vegan Cafe......... 

Natural Food enjoying at Natural Environment ""PERFECT""
umm...... sitting next to our Compost Bin  

Thank You for coming down to support our small cozy local Hand Crafting cafe . Without you we cannot sustain n survive 

#wholefood 
#naturalfood 
#noprocessedfood 
#plantbasedfood 
#rawvegandiet 
#animalcrueltyfreefood 
#sistainablefood 
#lowfodmapvegan 
#veganfood 
#rawveganfood 
#rawvegansg 
#veganfoodsg 
#sustainablefoodsg 
#sustainablelifestyle 
#zerowasterswvegansg 
#zerowasterawvegancafesg 
#reducefoodwaste 
#sustainablevegancafe
#glutenfreevegan 
#byocontainer 
#bringyourowncontainer
#ecofriendlycafe 
#compostablepackaging 
#nutsfree 
#glutenfreeveganfood 
#handpanmusic 
#handpanplayer 

Sustainable Lifestyle & Vegan Cooking Learning Class : back2basicliving.com@"
39715,"Hand-brew Brown Rice Green Coffee @anonymised_user 

Shou Chong Hong Bei Cao Mi +Lu Ka Pei  (No Roast Coffee Beans) @ Back 2 Basic Cafe Fan Pu Gui Zhen  

Our Food & Beverages and Personal Care Products 
have been stick with our Philosophy since 2015 including 4 concept i.e. (1) Raw Vegan + (2) Fermented + (3) Sustainable Zero Waste + (4) Social Enterprise 

Why is Social Enterprise ?
Following our Vegan Bunny to know more ....... 

#Fan Pu Gui Zhen De Nu Hai  
#Fan Pu Gui Zhen  
#Shou Chong Ka Pei  
#handbrewcoffee 
#back2basicliving 
#sustainablefood 
#sustainablifestyle 
#rawveganlifestyle 
#glutenfreeveganlifestyle 
#lowfodmapveganfriendly 
#lowfodmap 
#fermentedfood 
#fermenteddrinks 
#fermentationlover 
#ecofriendlyliving 
#zerowastevegancafesg 
#zerowastecafe 
#glutenfreerawvegancafe
#glutenfreevegancafe 
#fermentedveganfood 
#fermentedrawveganfood"
39716,"Handpan v.s. Raw Vegan v.s. Natural 
@anonymised_user 

Always glad to see customers delightfully playing our handpan    at the same time enjoying our Raw Vegan Whole Food on the grass outside our Zero Waste Vegan Cafe......... 

Natural Food enjoying at Natural Environment ""PERFECT""
umm...... sitting next to our Compost Bin  

#wholefood 
#naturalfood 
#noprocessedfood 
#plantbasedfood 
#rawvegandiet 
#animalcrueltyfreefood 
#sistainablefood 
#lowfodmapvegan 
#veganfood 
#rawveganfood 
#rawvegansg 
#veganfoodsg 
#sustainablefoodsg 
#sustainablelifestyle 
#zerowasterswvegansg 
#zerowasterawvegancafesg 
#reducefoodwaste 
#sustainablevegancafe
#glutenfreevegan 
#byocontainer 
#bringyourowncontainer
#ecofriendlycafe 
#compostablepackaging 
#nutsfree 
#glutenfreeveganfood 
#handpanmusic 
#handpanplayer 

Sustainable Lifestyle & Vegan Cooking Learning Class : back2basicliving.com"
39717,"BYO Container @anonymised_user 
Atypical Zero Waste Raw Vegan Cafe 

Welcome all Eco-Friendly friends to try our Fermented Raw Vegan Food [?][?]

Welcome to BYO Container to purchase or takeaway Raw Vegan Food [?][?]

Thank You George Jacob coming down to support our Sustainable Raw Vegan Food 

#wholefood 
#naturalfood 
#noprocessedfood 
#plantbasedfood 
#rawvegandiet 
#animalcrueltyfreefood
#veganfood 
#rawveganfood 
#rawvegansg 
#veganfoodsg 
#sustainablefoodsg 
#sustainablefood 
#zerowasterswvegansg 
#zerowasterawvegancafesg 
#sustainablelifestyle 
#sustainablevegancafe
#glutenfreevegan 
#byocontainer 
#bringyourowncontainer

Sustainable Lifestyle workshop : back2basicliving.com"
39719,"Handpan  v.s. Raw Vegan Cafe [?][?] 

Always happy to see children playing our Handpan at our Zero Waste Raw Vegan shop @anonymised_user 
    no matter which culture they r from all children love music , is just another language 

Come Down to enjoy our Hand Brew Coffee [?][?] and try play with our Handpan   

Back2Basic is not an ordinary Gluten Free Nuts Free & Diary Free Vegan Cafe , it is a REAL Zero Waste Vegan & Raw Vegan Cafe trying to inspiring everyone around us to Understand the real meaning behind ""Sustainable Lifestyle and Foods & Drinks"" [?][?][?][?]

#handpanmusic 
#handpan 
#handpanworld 
#childrenandmusic 
#purechildren 
#handpanandchildren
#handpanplayer 
#zerowastevegancafesg 
#zerowasteveganshopsg 
#rawvegan 
#rawveganfood 
#diaryfreediet 
#glutenfreevegan 
#rawvegansg
#handbrewcoffee
#nanopresso
#zerowasterswvegancafesg 
#handpancafe
#handpancafesg"
39720,"Upcycling Area #01-32 
Zero Waste Raw Vegan Shop @anonymised_user 

We have 5 boxes of 1.5L plastic bottle for repurpose [?][?](each box of 15bottles) and many others good container for repurposing. 

Pls help yourself to collect them to repurpose 

e.g. planting project, Eco Enzyme making or bottling, art & craft school project ....... 

#repurposeplasticwaste 
#upcyclingwaste 
#upcyclingplasticbottles 
#repurposeplasticbottles 
#plantingdesign 
#ecoenzymesg 
#garbageenzymesg 
#upcyclingsg 
#reduceplasticwaste 
#reducereuserecycle 
#zerowasterswvegansg 
#zerowasterawveganshop 
#zerowasterawvegancafe
#zerowasterawvegancafesg
#fermentedrawveganfood 
#culturedrawveganfood
#jcchenghandcraftfood 
#supporsmalllocalbusiness 
#supportlocalsmallbusiness 
#supporthandcraftfood 
#wholefood 
#lowfodmap 
#plantbasedfood 
#veganfood 
#veganfoodsg
#changemaker 
#impactseeker"
39721,"Zero Waste Raw Vegan & Vegan Food Delivery  

Welcome to do UPCYCLING your waste and grab a Hand Brew Coffee on us @anonymised_user 

Welcome to learn more about the important of Waste Segregation in Singapore.  Together We can Change The World [?][?][?][?]

Vegan Food Delivery : back2basicliving.com
Food Panda : https://foodpanda.page.link/fDgtnA5BKs8hkMrC7

#togetherwecanchangetheworld
#zerowastevegan 
#zerowastevegancafe 
#zerowastevegancafesg 
#zerowasteveganfood 
#zerowasteveganshopsg 
#sustainablefoodsg 
#sustainablefood 
#sustainablefoodsg 
#animalcrueltyfree 
#lowfodmap 
#lowfodmapdiet 
#veganfoodsg 
#rawveganfoodsg 
#rawvegabfood 
#diaryfree 
#glutenfreefood 
#glutenfreeveganfood 
#handbrewcoffee 
#veganfooddeliverysg
#veganfooddeliveryservice 
#upcyclingwaste
#upcyclinglifestyle 
#sustainablelifestyle 
#Huan Bao You Wo Zuo Qi  
#La Ji Fen Lei You Yuan Tou Zuo Qi  
#wastesegregationawareness 
#wastesegregation"
39722,"Zero Waste Raw Vegan & Vegan Food Delivery  

Welcome to do UPCYCLING your waste and grab a Hand Brew Coffee on us @anonymised_user 

Welcome to learn more about the important of Waste Segregation in Singapore.  Together We can Change The World [?][?][?][?]

Vegan Food Delivery : back2basicliving.com
Food Panda : https://foodpanda.page.link/fDgtnA5BKs8hkMrC7

#togetherwecanchangetheworld
#zerowastevegan 
#zerowastevegancafe 
#zerowastevegancafesg 
#zerowasteveganfood 
#zerowasteveganshopsg 
#sustainablefoodsg 
#sustainablefood 
#sustainablefoodsg 
#animalcrueltyfree 
#lowfodmap 
#lowfodmapdiet 
#veganfoodsg 
#rawveganfoodsg 
#rawvegabfood 
#diaryfree 
#glutenfreefood 
#glutenfreeveganfood 
#handbrewcoffee 
#veganfooddeliverysg
#veganfooddeliveryservice 
#upcyclingwaste
#upcyclinglifestyle 
#sustainablelifestyle 
#Huan Bao You Wo Zuo Qi  
#La Ji Fen Lei You Yuan Tou Zuo Qi  
#wastesegregationawareness 
#wastesegregation"
39723,"Upcycling Area #01-32 @anonymised_user 
Zero Waste Raw Vegan Cafe 

Location : 3South Buona Vista Rd., #01-32 S118136. Viva Vista Shopping Mall. 
https://goo.gl/maps/311WKQwQFCfFG6Nf6

We just received many kind soul accumulate a lot of different items coming down today and upcycling at our Shop today for other to repurposing them. 

Welcome everyone come down n collect & repurpose them !! Or just for a hand brew coffee [?][?][?][?] and enjoy some handpan music   

We need more friends to upcycling their plastic bottle e.g. meji , soft drinks, of 1.5L / 500ml, toilet paper roll and CNY plastic containers 

#upcyclingarea0132 
#upcycling 
#reducereuserecycle 
#reducereuserepurpose 
#repurposewaste 
#upcyclingwaste 
#sustainablefood 
#sustainablelifestyle 
#socialenterprise 
#reducewaste 
#sustainableliving 
#zerowastevegancafe 
#zerowastevegancafesg 
#zerowastevegan 
#lowfodmapdiet 
#healthyfood 
#organicfood 
#veganfood 
#veganfoodsg 
#vegancafesg 
#vegancafe 
#veganfoodlovers 
#veganfoodshare"
